artistName,trackName,fall,spring,summer,winter,genres,track_id,danceability,energy,valence,tempo,duration_ms
A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",0,512,1323,0,"east coast hip hop, hip hop, rap, trap",4X5f3vT8MRuXF68pfjNte5,0.853,0.693,0.662,95.967,233787
A$AP Rocky,Ghetto Symphony (feat. Gunplay & A$AP Ferg),54919,0,0,0,"east coast hip hop, hip hop, rap, trap",57pOLYHz6mt5aMkOXa2Gis,0.49,0.921,0.497,150.514,237733
A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2),0,0,7488,0,"east coast hip hop, hip hop, rap, trap",1j6kDJttn6wbVyMaM42Nxm,0.485,0.72,0.0471,207.982,126960
A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),175285,297371,28670,618712,"east coast hip hop, hip hop, rap, trap",7ycWLEP1GsNjVvcjawXz3z,0.854,0.569,0.294,80.015,205040
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),299299,11288,1465,299907,"europop, swedish pop",3vkQ5DAB1qQMYO4Mr9zJN6,0.749,0.491,0.536,119.528,292613
ALIFIRU,Ihtilal,0,0,0,0,,1Di2rayf2iNhe3U75Zh4T6,0.347,0.331,0.311,172.156,168221
ALIZADE,24/7,1023,2535407,1389433,0,zhenskiy rep,05QUYSOApWLr8oBbpONl7p,0.664,0.549,0.408,149.98,167000
ALIZADE,ANORMAL,0,0,14472,0,zhenskiy rep,1x3Ow6I8AbWQyWHXFm5HzP,0.896,0.752,0.692,98.965,114000
ALIZADE,ESTAFURLA,0,45996,0,0,zhenskiy rep,5Grx9tXvBGUxr0cYb8WBsI,0.589,0.74,0.529,128.487,98000
ALIZADE,Kalbin bana kaldi,0,9099,144000,0,zhenskiy rep,55Tf67DiltMLjOY6A25s3J,0.772,0.62,0.49,95.017,144000
ALIZADE,SU AN,0,291588,515881,0,zhenskiy rep,1G2ipJnWC0v0rSPPpzjoek,0.601,0.558,0.475,106.697,145794
ANNABELLE,TOOTHBRUSH,0,0,0,8290,czech pop,7JZ9TOFe50zO5M79RyaVt7,0.82,0.395,0.702,168.118,174286
AURORA,Cure For Me,0,16828,0,0,"art pop, norwegian pop",33WTgxRdPBQQpVCMXpNxhO,0.726,0.738,0.414,115.904,201640
AURORA,Everything Matters,0,134143,0,0,"art pop, norwegian pop",4X00YoOQUD49hwdXmWBXHM,0.552,0.323,0.353,160.377,213907
AURORA,"Murder Song (5, 4, 3, 2, 1)",0,200386,0,0,"art pop, norwegian pop",7emYgNINPGksV9INAKsjSj,0.402,0.0757,0.353,77.554,218667
AURORA,Runaway,0,248826,0,0,"art pop, norwegian pop",23rdcrD0Eky4vYn2TZidxJ,0.459,0.276,0.128,114.169,248827
AVAION,Pieces,0,554,0,0,,73rxH6rYJQZtwfjKNb4mwZ,0.49,0.261,0.47,123.85,196307
AZ,New Life,0,0,4945,25810,"alternative hip hop, hardcore hip hop, hip hop",7MPAhOR1s9knpcCIcD4cSH,0.642,0.547,0.736,112.02,232467
Aaron May,Let Go,176531,0,0,0,,07mdQUH1Cy5j4mTpyG6IOe,0.462,0.436,0.0389,82.054,248056
Aaron May,Time,319894,0,533518,0,,3TO7bbrUKrOSPGRTB5MeCz,0.359,0.48,0.355,120.285,413947
Accept,Amamos La Vida,559200,431889,108543,7472,"german heavy metal, german metal, glam metal, hard rock, metal, power metal, speed metal, thrash metal",67s5Cx8cn7iA5j3aJFkqnC,0.349,0.628,0.354,98,278973
Accept,Blood of the Nations,0,1346,0,0,"german heavy metal, german metal, glam metal, hard rock, metal, power metal, speed metal, thrash metal",5u8Kn4VxVnmb9aAFmb7JmN,0.526,0.958,0.655,106.008,337893
Accept,The Curse,0,2461,0,0,"german heavy metal, german metal, glam metal, hard rock, metal, power metal, speed metal, thrash metal",7hiY7fVxa0LEUeUP4F4ReR,0.613,0.24,0.436,95.019,353278
Accept,Writing On The Wall,0,2298,0,0,"german heavy metal, german metal, glam metal, hard rock, metal, power metal, speed metal, thrash metal",5rxbkKhHOLYTRe066svNMI,0.316,0.505,0.459,204.479,272312
Acil Servis,Bebek,0,0,0,1898,"turkish alternative, turkish metal, turkish rock",6qVA1MqDrDKfk9144bhoKp,0.486,0.485,0.353,120.095,319933
Adamlar,Derine Indik,148223,278293,257530,291844,turkish rock,7rzUFU9wN9K5Rl1XPAebFb,0.444,0.421,0.323,126.973,256324
Adamlar,Mavi Ekran,99941,0,0,0,turkish rock,2afBt3mq4R4mQBN0CTsxxr,0.637,0.687,0.731,175.811,192137
Adamlar,Ruyalarda Burusmusum,0,0,0,0,turkish rock,4cQSOn9oP0MiM7BgiRngFk,0.658,0.431,0.458,114.971,211534
Adamlar,Sarilirim Birine,400705,368947,137884,1168488,turkish rock,0d7qHnB6CNvn1UsO5i3ElE,0.63,0.709,0.33,129.977,393431
Adamlar,Zombi,0,0,0,234597,turkish rock,0pP2ckGloRpysWSlsgvuYh,0.721,0.322,0.341,89.895,90648
Adele,Easy On Me,0,63220,0,0,"british soul, pop, pop soul, uk pop",46IZ0fSY2mpAiktS3KOqds,0.604,0.366,0.13,141.981,224695
Adele,Hello,0,8290,0,0,"british soul, pop, pop soul, uk pop",5qYE5oxclitiuqhzwv5aPY,0.423,0.783,0.743,87.688,145300
Adele,Make You Feel My Love,0,950,0,0,"british soul, pop, pop soul, uk pop",5FgPwJ7Nh2FVmIXviKl2VF,0.317,0.172,0.0963,65.18,212040
Adele,Remedy,0,378646,0,0,"british soul, pop, pop soul, uk pop",0ejsuPpODaCBO2YLfihxaJ,0.644,0.116,0.171,158.073,195813
Adele,Rolling in the Deep,0,460076,0,0,"british soul, pop, pop soul, uk pop",1c8gk2PeTE04A1pIDH9YMk,0.73,0.769,0.507,104.948,228093
Adele,Rumour Has It,0,8380,0,0,"british soul, pop, pop soul, uk pop",2A73XBDBQgmdXO8VsXPWIs,0.612,0.749,0.574,120.052,223267
Adele,Set Fire to the Rain,0,823697,0,0,"british soul, pop, pop soul, uk pop",73CMRj62VK8nUS4ezD2wvi,0.603,0.67,0.446,107.993,242974
Adele,Skyfall,0,601243,0,0,"british soul, pop, pop soul, uk pop",6VObnIkLVruX4UVyxWhlqm,0.346,0.552,0.0789,75.881,286480
Adele,Someone Like You,0,117930,0,0,"british soul, pop, pop soul, uk pop",1zwMYTA5nlNjZxYrvBB2pV,0.556,0.319,0.294,135.187,285240
Adele,Take It All,0,7970,0,0,"british soul, pop, pop soul, uk pop",3ojnCCs5izqgJlRMIBfENI,0.584,0.725,0.688,148.967,193501
Adele,Water Under the Bridge,0,3280,0,0,"british soul, pop, pop soul, uk pop",4jL6WWKFDqCOPo2hC3VhSS,0.59,0.833,0.538,94.963,240439
Adele,When We Were Young,0,317630,0,0,"british soul, pop, pop soul, uk pop",7GgWAITsYJaRM3r50rfh5w,0.376,0.595,0.265,144.361,290900
Adriian,Driver Forever - Remix,0,3350,0,0,,1JR8vCb6wOe6agZbUzP7Jd,0.761,0.408,0.263,109.948,226000
Adroithood,Sun Up,0,2709,0,0,sped up,1iJ0IAeCWnQCQf88gZovnh,0.779,0.391,0.43,76.776,150187
Afroman,Because I Got High,148765,0,5540,0,comedy rap,0rRboI6IRuGx56Dq3UdYY4,0.802,0.341,0.849,166.01,197760
Afroman,I Live In A Van,281415,0,3114,0,comedy rap,5GZD75cErg7hPVSLN3VhUt,0.839,0.391,0.389,89.921,279427
Agnes Obel,Late Night Tales: Agnes Obel - Continuous Mix,0,0,0,633399,chamber pop,6TVCAs5H316YokOnKon1Tm,0.468,0.249,0.104,112.173,3031823
Agoria,Remedy,0,0,0,1770,"microhouse, minimal techno",6sH7LTzonbkNleLPvk1Yie,0.607,0.705,0.167,120.986,178789
Ahmet Ali Arslan,Gozlerimdesin - Bahceden Canli,0,1365,0,0,"turkish alternative, turkish jazz",2gfoaONIhnw8klk3jpBgsy,0.509,0.147,0.219,91.794,153088
Ahmet Kaya,Diyarbakir Hasreti,0,0,10715,0,turkish trap pop,6ynbU5xr81opLj3f9O1Eln,0.637,0.584,0.443,109.918,361813
Ahmet Kaya,Hep Sonradan,0,217733,0,0,turkish trap pop,5A3mzEt3PxImimu8NS7NdT,0.645,0.53,0.589,115.978,217733
Ahmet Kaya,Kendine Iyi Bak,0,185356,0,0,turkish trap pop,29oo1BXTdD92l5osHa0zSl,0.65,0.496,0.852,118.658,267133
Ahmet Kaya,Kod Adi Bahtiyar,0,696226,0,0,turkish trap pop,2QdFeqsWxQR5oQr9nv6Eg5,0.336,0.284,0.247,82.617,348114
Ahmet Kaya,Mahur,0,317648,0,0,turkish trap pop,0tCEEMJ6RTIKJExBFLqzLD,0.552,0.324,0.477,99.848,317649
Ahmet Kaya,Soyle,0,14790,0,0,turkish trap pop,4D6TKXvFTktph6Vj6Pi1IC,0.578,0.598,0.774,97.983,248175
Ahmet Kaya,Yakarim Geceleri,0,0,337943,0,turkish trap pop,2FvsqkRRn6SNGM9ZxHR69v,0.315,0.532,0.562,96.968,337943
Aidan Martin,Sin in Your Skin,0,0,0,222783,uk pop,07O3JR3PRzTaNwYwNFpxDe,0.486,0.267,0.21,75.664,237339
Ajda Pekkan,Arada Sirada - Dance Remix,0,2325,0,0,"turkish pop, turkish psych",5N6TbAsR8nGrfzBj8lLd3m,0.62,0.907,0.587,132.074,272640
Ajda Pekkan,Baksana Talihe,0,2111,0,0,"turkish pop, turkish psych",63UchdFKgGAJhQBFsScWX6,0.598,0.683,0.932,85.996,225358
Ajda Pekkan,Bambaska Biri,0,9621,0,0,"turkish pop, turkish psych",6zfsONCZhOWI60pQXnIdDt,0.765,0.869,0.778,119.988,323779
Ajda Pekkan,Bi' Tik - Sunrise Version,0,3349,0,0,"turkish pop, turkish psych",72ZFkAcPQ9NEnpu9TO0xcR,0.64,0.85,0.554,156.043,218155
Ajda Pekkan,Bir Gunah Gibi,0,2538,0,0,"turkish pop, turkish psych",2BJHdjPhYszkjnOFEio0CS,0.286,0.526,0.254,107.735,238573
Ajda Pekkan,Bosvermisim Dunyaya,0,5823,0,206374,"turkish pop, turkish psych",4Iwwo5S9QyArDHFshCWoEn,0.42,0.556,0.719,81.537,204754
Ajda Pekkan,Cool Kadin - Mahmut Orhan Remix,0,1258,0,0,"turkish pop, turkish psych",7ssvkbySnfcuxeMEPz8aQT,0.67,0.856,0.748,123,385593
Ajda Pekkan,Dert Bende Derman Sende,0,8042,0,0,"turkish pop, turkish psych",7K1XtggTqNXQeciAF5rLWN,0.328,0.521,0.748,106.31,230627
Ajda Pekkan,Dusunme Hic,0,10324,0,219526,"turkish pop, turkish psych",6NBQtJawIW0RgszCkIqSr2,0.509,0.593,0.686,93.329,249453
Ajda Pekkan,Eglen Guzelim,0,2880,0,0,"turkish pop, turkish psych",64dzPbchbmMzqXHNJa2n1G,0.392,0.952,0.579,169.084,262000
Ajda Pekkan,Haykiracak Nefesim Kalmasa Bile,0,3114,0,0,"turkish pop, turkish psych",3e5giRRLqd3FUz7NPBdxGq,0.734,0.589,0.341,115.013,197602
Ajda Pekkan,Her Yasin Bir Guzelligi Var,0,4458,0,0,"turkish pop, turkish psych",4cHP10QMf2wmhlVcQmhSsY,0.594,0.571,0.774,160.337,313533
Ajda Pekkan,Hosgor Sen,0,2325,0,0,"turkish pop, turkish psych",482pYhVH8RoC9nSKvTPa8C,0.414,0.712,0.839,95.042,185373
Ajda Pekkan,Kim Ne Derse Desin,0,4885,0,0,"turkish pop, turkish psych",56g62QRl9wNTJRn5idyMsp,0.514,0.651,0.668,127.418,162168
Ajda Pekkan,Kimler Geldi Kimler Gecti,0,5909,0,9528,"turkish pop, turkish psych",1MwIi01YhFf3yDoXm0xe5y,0.296,0.582,0.66,93.351,206333
Ajda Pekkan,Ne Gunler,0,1728,0,0,"turkish pop, turkish psych",0LnUMM63QaP5HFiCjdNbgx,0.616,0.744,0.391,200.391,261400
Ajda Pekkan,Olur Ya,0,1280,0,0,"turkish pop, turkish psych",0RVlgxQzm987QRszX2p875,0.528,0.644,0.774,83.849,230536
Ajda Pekkan,Oyalama Beni,0,33493,0,0,"turkish pop, turkish psych",6jYi27xXq5ZmtzocqZdpFO,0.431,0.593,0.596,195.598,279771
Ajda Pekkan,Palavra Palavra,0,3519,0,0,"turkish pop, turkish psych",70BvZcLULViwenytMNAItP,0.609,0.547,0.649,123.389,247427
Ajda Pekkan,Sana Bana Yeter,0,2794,0,0,"turkish pop, turkish psych",2TpVirb3OFe2ATpo0ixRgP,0.723,0.646,0.832,96.148,225027
Ajda Pekkan,Sana Dogru,0,981,0,4350,"turkish pop, turkish psych",4uqfAomhCo0lGZX32MbtRt,0.719,0.826,0.586,114.026,210931
Ajda Pekkan,Sana Ne Kime Ne,0,7060,0,0,"turkish pop, turkish psych",3yJWiBGjQOPGwBJ9EMzXcH,0.611,0.692,0.964,98.075,177000
Ajda Pekkan,Sana Neler Edecegim,0,2986,0,0,"turkish pop, turkish psych",4ViJpCfojsF6yncsDtXGFW,0.624,0.617,0.74,134.628,185440
Ajda Pekkan,Seninleyim,0,661,0,0,"turkish pop, turkish psych",2ydyrhV1UFnNEIZjFAQqNF,0.27,0.474,0.524,79.144,203720
Ajda Pekkan,Sensiz Yillarda,0,981,0,0,"turkish pop, turkish psych",6ZeWfjRKriNidu6nZprUeu,0.385,0.479,0.584,126.956,156473
Ajda Pekkan,Uykusuz Her Gece,0,2964,0,0,"turkish pop, turkish psych",6IQkc9xHpZ0CFF9SXrPwK4,0.745,0.866,0.737,129.977,233333
Ajda Pekkan,Ya Sonra,0,1429,0,0,"turkish pop, turkish psych",6g7QJOLaFuChdtrAYU9FXY,0.755,0.64,0.669,98.033,270025
Ajda Pekkan,Yakar Gecerim,0,80158,0,0,"turkish pop, turkish psych",2FiAoXdJgQaVuufNjEaHOm,0.81,0.821,0.705,114.032,264490
Ajda Pekkan,Yaz Yaz Yaz,0,3861,0,40405,"turkish pop, turkish psych",5EbVuS3Oe20q97M1lfn3yn,0.686,0.689,0.952,150.342,252773
Ajda Pekkan,Yine Tek,0,1578,0,0,"turkish pop, turkish psych",5VEUF0jx9NOKnSguavBSJr,0.705,0.623,0.815,140.03,306442
Ajmw,Flowers,107027,0,0,0,"chillhop, lo-fi beats",079mntueS2KWjxVqOHjG70,0.655,0.539,0.221,119.914,168126
Akon,Locked Up,1536,29962,0,0,dance pop,0YUrjFy4qFKOO5NhM9tYdV,0.828,0.58,0.407,89.973,235067
Akon,Smack That,216924,10004,97163,0,dance pop,2kQuhkFX7uSVepCD3h29g5,0.939,0.742,0.924,118.978,212360
Akon,Smack That - NBA Version,0,0,2229,0,dance pop,7qiiBlbNTbZHdLXUsPsQaH,0.869,0.629,0.98,59.496,82067
Al-Berto & the Fried Bikinis,Dive,3604,0,2985,0,,6axPfPSaw5jSuy0LSaEMQz,0.602,0.795,0.526,174.809,80446
Alabama,Born Country,0,0,0,1770,"contemporary country, country, country road, country rock",0MM0VlDZ4n8f7zfkz2MmqZ,0.579,0.52,0.521,167.311,196867
Alabama,Mountain Music,0,0,0,44288,"contemporary country, country, country road, country rock",7BjmEKAVTnJNkRNaUzBy2K,0.467,0.526,0.753,109.555,218613
Alabama,Song of the South,0,0,0,89557,"contemporary country, country, country road, country rock",2uX5f3x2cObov0iDAPln4o,0.486,0.633,0.669,162.158,190800
Alba,Bi Sigara,0,0,0,2431,pop romantico,3BZQEX8vfeol0pnfktKLQo,0.654,0.494,0.149,123.935,158710
Alborosie,Can't Cool,0,54210,0,0,"reggae, roots reggae",5wPNZhpBDM3LCazp3hW5gK,0.791,0.864,0.915,76.997,228093
Alcest,Sur l'ocean couleur de fer,5631,558209,503222,1500522,"atmospheric black metal, blackgaze, emotional black metal, french black metal, french metal, french shoegaze, post-black metal, post-metal, shoegaze",038PaU9vPDq2itJcSQrawe,0.464,0.306,0.115,133.982,498707
Alex G,Advice,0,0,0,670,"philly indie, pov: indie",3poJLRLGViMX3gicX9UYtD,0.356,0.611,0.272,170.069,157973
Alex G,Change,0,0,0,102345,"philly indie, pov: indie",0bPiyfCmBIWqDDQZ6KqFXu,0.667,0.314,0.322,92.384,124333
Alex G,Treehouse,167398,0,158801,0,"philly indie, pov: indie",7fyG2MquxykO3Ufiku1Dj2,0.612,0.196,0.142,73.489,158801
Alexander 23,IDK You Yet,1429,743644,29027,624172,"alt z, singer-songwriter pop",0j1Ia2lQWrcXrQZI4AdJlk,0.648,0.308,0.198,76.997,184638
Alexandra Savior,Can't Help Myself,0,0,0,162944,modern dream pop,3DpYNk8DsTwZ8rtTTTrKyf,0.697,0.869,0.66,119.999,158320
Alexandra Savior,Soft Currents,0,0,0,2005,modern dream pop,5BYYvkMkLLEtyQI0cs59Kq,0.424,0.132,0.113,80.951,191488
Alexandra Savior,The Archer,0,0,0,145280,modern dream pop,3pHkh7d0lzM2AldUtz2x37,0.292,0.574,0.166,124.344,211240
Alfie Templeman,Leaving Today,0,0,0,1020,modern alternative pop,2BMM17igbtJc4103rrpLll,0,0.163,0,0,258733
Alice Phoebe Lou,Underworld,0,0,0,166321,south african alternative,2OIK5BqmbOWPZCNQwt4gsN,0.838,0.816,0.551,120.002,208952
Alicia Keys,Empire State of Mind (Part II) Broken Down,0,8512,0,0,"neo soul, pop, r&b",5sra5UY6sD658OabHL3QtI,0.484,0.368,0.142,92.923,216480
Allman Brothers Band,Midnight Rider,0,0,0,50922,"album rock, blues rock, classic rock, country rock, folk rock, hard rock, heartland rock, jam band, mellow gold, rock, singer-songwriter, soft rock, southern rock",1hHGUdFaiJHw9hVZGJWYO2,0.585,0.532,0.68,94.461,180067
Alper Atakan,Leyla Ile Mecnun: Duygusal Tema,0,0,130403,0,turkish soundtrack,4IkzrF0iNCnPt4bjGofLfN,0.784,0.292,0.754,105.001,130403
Alpha,Feyzullah,0,176892,0,0,"australian post-hardcore, deathcore, melodic metalcore, metalcore, nu-metalcore",6UDzr0rh9dG6XoZDYGMeMW,0.851,0.636,0.497,140.005,96004
Alpha,Taktim Bese,0,1471,0,0,"australian post-hardcore, deathcore, melodic metalcore, metalcore, nu-metalcore",5dygJJQNZudfKjMV1d8WgU,0.491,0.836,0.629,196.573,94795
Altajmusic,Baby Stop,0,0,0,38922,,5wIKxAhAII20xChbjrocvS,0.618,0.387,0.88,82.029,38922
Alyssa Baker,Can't Help Falling in Love,0,0,0,108351,,44AyOl4qVkzS48vBsbNXaC,0.396,0.293,0.343,100.307,182360
Amanda Palmer,Runs in the Family,0,0,0,10630,"dark cabaret, piano rock, steampunk",0GdiWLQt5VYtMEcero6AOW,0.577,0.721,0.755,142.39,164427
Amason,California Dreamin',0,0,0,960,swedish jazz,1ZEOIhSn6BKErV59bIgn76,0.548,0.728,0.649,112.332,160373
Ambala,Walk With The Dreamers,0,0,0,206785,,1SP6wYCmQPm9JTLs8GbKnP,0.899,0.403,0.95,112.016,206786
Amber Run,I Found,0,0,0,283346,indie anthem-folk,5zT5cMnMKoyruPj13TQXGx,0.567,0.303,0.252,124.949,273000
Amy Winehouse,Back To Black,30116,736781,245457,0,"british soul, neo soul",30FURVTCpbKyykjSEQzGkH,0.49,0.725,0.335,123.28,240440
Anathema,Flying - Remastered,2089,367099,8903,28437,"gothic metal, progressive doom, progressive metal",1itLKsCWHtLnxALkgBk1Fa,0.551,0.395,0.261,92.929,135520
Anderson .Paak,The Season | Carry Me,0,0,0,92505,"escape room, hip hop, indie soul, neo soul",5G0nSEIT0fGUZY0caM9AnH,0.387,0.726,0.632,78.846,328813
Andrew Bird,Tenuousness,0,5909,0,0,"baroque pop, chamber pop, chicago indie, indie rock, melancholia, stomp and holler",1oMorGwgReaTZ46f3rbqAs,0.658,0.432,0.438,122.263,231133
Andrew Foy,death bed (coffee for your head),0,71252,0,0,acoustic guitar cover,08OjvLnGR3M0HUhcePeMNO,0.565,0.0392,0.601,125.399,112008
Ane Brun,All My Tears,144649,276368,12668,148232,"melancholia, norwegian singer-songwriter",2UZ8C6abrCuhjelaK1MFz1,0.635,0.17,0.616,85.718,124853
